Id,Articles
1,padlocks shackle chain use cover lack proper mental health provision world fourth populous nation
2,kyrgyzstan close ally russia long platform geopolitical competition moscow washington beijing
3,talk follow recent tension china india border issue australia deteriorate tie china
4,china claim democratic taiwan territory step military activity near island
5,fighting erupt september kill dozens mark big escalation decade old conflict region
6,charge vorayuth grandson red bull co founder drop july spark public outrage thais
7,taiwan president tsai ing wen pledge deep tie chinese fighter jet cross midline taiwan strait
8,fresh wave infection erupt church member attend large protest downtown seoul mid august
9,concerned close relationship taipei washington china step military exercise near island
10,yoshihide suga new leader liberal democratic party set office japan prime minister today
11,ldp legislative majority suga expect handily win parliamentary vote wednesday japan prime minister
12,shenzhen city police hongkonger criminal detention suspicion illegally cross border
13,chuseok south korea big holiday million travel visit family nation large annual migration
14,hungry diner appear miss plane food gobble spaghetti carbonara beef serve plastic tray cabin crew
15,presidential spokesman roque pardon stem desire access covid vaccine develop
16,impoverished country confirm single case coronavirus till emerge china north key ally
17,beijing city leader carrie lam accuse opposed testing politically motivated anti china
18,police arrest people mainly illegal gatherings notice facebook page
19,arrest tam tak chi come morning hongkonger vote general election delay coronavirus
20,alert strong winds waves high tides rainfall lightning issue amami oshima alongside evacuation order
21,japan coastguard find second survivor gulf livestock issue distress typhoon maysak pass area
22,natural disaster tend great impact north korea creaking infrastructure
23,north korea october successfully test fire new submarine launch ballistic missile slbm
24,ministry issue statement school respect freedom speech allow protest long disruptive
25,lone crew member gulf livestock rescue far
26,vast majority nearly case cramp dormitory house south asian worker
27,north state tv widespread flooding eastern coastal cities country immediately report casualty
28,parliamentary vote follow day later lawmaker expect endorse new ldp leader prime minister
29,key ldp faction throw support suga expect formally announce candidacy later today
30,china week denounce vystrcil visit undermine political foundation china czech relation
31,resignation mark end tenure start week race replace longest serve premier
32,speculation prime minister health swirl week reach fever pitch recent day
33,high number child affect region south asia million accord report
34,democracy activist share concern dna collect abuse cover testing
35,early year prosecutor decide drop charge him cause widespread anger country
36,man mild symptom time second time
37,attack happen jolo muslim majority sulu government security force long fight abu sayyaf group
38,abe surpass record long consecutive tenure premier set great uncle eisaku sato half century ago
39,washington support taiwan democratically elect government chronic irritant relation beijing
40,formally notify withdrawal bilateral deal hk cover surrender fugitives transfer prisoner tax exemption
41,person church service ban indoor outdoor gathering restrict people
42,sunil kumar nandeshwar captain mv wakashio charge endanger safe navigation custody pende bail hearing week
43,remind drugmaker follow necessary research development step create vaccine
44,taiwan offer welcome hongkonger wish settle china imposition controversial national security law
45,movement declare core demand new elections constitution amendment end intimidation critic
46,thailand near daily demonstration past month student lead group denounce premier prayut chan o cha
47,authority struggle stem transmission link churches nursery homes schools restaurant door door salespeople
48,abe increasingly seek whitewash brutal past office december
49,new case report friday time late march daily increase surpass day row
50,expert covid crisis likely thwart kim major economic goal force country lockdown
51,korean peninsula hammer long rainy spell recent history flood landslide cause damage death
52,public support come day police arrest hk pro democracy founder raid headquarters
53,china consider taiwan terriroty promise unspecified retaliation plan visit taiwan
54,washington break official tie taiwan favour beijing
55,survivor camps family supporter seek compensation atonement labour suffering
56,china sensitive official recognition taiwan tsai speak trump election
57,jimmy lai apple daily newspaper magazine outlet unapologetically pro democracy critical china
58,china describe visit threat defence minister warn
59,august nagasaki flatten atomic inferno day atomic bombing hiroshima
60,twin bombing deal final blow imperial japan surrender august bring end world war ii
61,trip geopolitical chess contentious relationship china consider taiwan national territory
62,official accuse cooperate effort undermine autonomy crack freedom hong kong
