Id,Title,Summary,Date,Link,
1,Locks^ chains: Coronavirus puts Indonesia's mentally ill back in shackles,Padlocks^ shackles and chains are used to cover for a lack of proper mental health provision in the world's fourth most-populous nation,07 Oct 2020,https://www.indiatoday.in/world/asia/071020/locks-chains-coronavirus-puts-indonesias-mentally-ill-back-in-shack.html
2,Opposition in Kyrgyzstan claim power after storming government buildings,Kyrgyzstan is a close ally of Russia and has long been a platform for geopolitical competition between Moscow^ Washington and Beijing,06 Oct 2020,https://www.indiatoday.in/world/asia/061020/opposition-in-kyrgyzstan-claim-power-after-storming-government-buildin.html
3,India^ US^ Australia^ Japan to discuss China's growing power in Quad talks,The talks follow recent tensions between China and India over the border issue as well as Australia's deteriorating ties with China,06 Oct 2020,https://www.indiatoday.in/world/asia/061020/india-us-australia-japan-to-discuss-chinas-growing-power-in-quad-t.html
4,Taiwan says military under pressure from China as missions mount,China^ which claims democratic Taiwan as its own territory^ has stepped up its military activities near the island,06 Oct 2020,https://www.indiatoday.in/world/asia/061020/taiwan-says-military-under-pressure-from-china-as-missions-mount.html
5,Armenia^ Azerbaijan clashes resume over separatist region,The fighting erupted September 27 and has killed dozens^ marking the biggest escalation in the decades-old conflict over the region,05 Oct 2020,https://www.indiatoday.in/world/asia/051020/armenia-azerbaijan-clashes-resume-over-separatist-region.html
6,Interpol issues 'red notice' for fugitive Thai Red Bull heir over hit-and-run,The charges against Vorayuth^ grandson of Red Bull's co-founder^ were dropped in July - sparking public outrage from Thais,05 Oct 2020,https://www.indiatoday.in/world/asia/051020/interpol-issues-red-notice-for-fugitive-thai-red-bull-heir-over-hit.html
7,Taiwan scrambles jets for second day as Chinese fighter jets buzz island,Taiwan President Tsai Ing-wen pledged deeper ties with the US as 18 Chinese fighter jets crossed the midline of Taiwan Strait,19 Sep 2020,https://www.indiatoday.in/world/asia/190920/taiwan-scrambles-jets-for-second-day-as-chinese-fighter-jets-buzz-isla.html
8,South Korea to fine church for causing countryâs largest virus cluster,A fresh wave of infections erupted at a church whose members attended a large protest in downtown Seoul in mid-August,18 Sep 2020,https://www.indiatoday.in/world/asia/180920/south-korea-to-fine-church-for-causing-countrys-largest-virus-clust.html
9,China begins military drills amid US envoy's second high-level visit to Taiwan,Concerned over the ever-closer relationship between Taipei and Washington^ China has stepped up military exercises near the island,18 Sep 2020,https://www.indiatoday.in/world/asia/180920/china-begins-military-drills-amid-us-envoys-second-high-level-visit-t.html
10,Shinzo Abe's entire cabinet resigns as Suga set to become Japan's new PM,Yoshihide Suga^ the new leader of the Liberal Democratic Party^ is set to take office as Japan's Prime Minister today,16 Sep 2020,https://www.indiatoday.in/world/asia/160920/shinzo-abes-entire-cabinet-resigns-as-suga-set-to-become-japans-new.html
11,Yoshihide Suga manages an easy win to be Japan's ruling party leader,Given the LDP's legislative majority^ Suga is expected to handily win a parliamentary vote Wednesday and become Japan's next prime minister,14 Sep 2020,https://www.indiatoday.in/world/asia/140920/yoshihide-suga-manages-an-easy-win-to-be-japans-ruling-party-leader.html
12,China brands Hong Kong citizens held at sea 'separatists',The Shenzhen city police said the 12 Hongkongers were under criminal detention on suspicion of illegally crossing the border,14 Sep 2020,https://www.indiatoday.in/world/asia/140920/china-brands-hong-kong-citizens-held-at-sea-separatists.html
13,South Korea to temporary ease virus curbs in Seoul ahead of festival,Chuseok is one of the South Korea's biggest holidays with millions travelling to visit family in nation's largest annual migration.,13 Sep 2020,https://www.indiatoday.in/world/asia/130920/south-korea-to-temporary-ease-virus-curbs-in-seoul-ahead-of-festival.html
14,Thailand's plane cafes are helping customers pretend they are in the sky,Hungry diners appear even to have missed plane food as they gobble up spaghetti carbonara and beef served on plastic trays by cabin crew,13 Sep 2020,https://www.indiatoday.in/world/asia/130920/thailands-plane-cafes-are-helping-customers-pretend-they-are-in-the-s.html
15,Philippines deports US Marine pardoned for transgender killing,Presidential spokesman Roque said the pardon may have stemmed from the desire to get access to COVID vaccines being developed in US,13 Sep 2020,https://www.indiatoday.in/world/asia/130920/philippines-deports-us-marine-pardoned-for-transgender-killing.html
16,North Korea has issued shoot-to-kill orders to prevent COVID-19 outbreak: US,The impoverished country has not confirmed even a single case of coronavirus till now since it first emerged in China^ North's key ally,11 Sep 2020,https://www.indiatoday.in/world/asia/110920/north-korea-has-issued-shoot-to-kill-orders-to-prevent-covid-19-outbre.html
17,Hongkongers steer clear of China's mass coronavirus testing plans,Both Beijing and city leader Carrie Lam have accused those opposed to the testing as being politically motivated and 'anti-China',07 Sep 2020,https://www.indiatoday.in/world/asia/070920/hongkongers-steer-clear-of-chinas-mass-coronavirus-testing-plans.html
18,Hong Kong police fire pepper balls at pro-democracy protesters,Police said they arrested 298 people^ mainly for illegal gatherings^ in a notice on their Facebook page,07 Sep 2020,https://www.indiatoday.in/world/asia/070920/hong-kong-police-fire-pepper-balls-at-pro-democracy-protesters.html
19,Hong Kong pro-democracy activist arrested for 'seditious words',The arrest of Tam Tak-chi came on the morning Hongkongers had been due to vote in a general election delayed because of the coronavirus,06 Sep 2020,https://www.indiatoday.in/world/asia/060920/hong-kong-pro-democracy-activist-arrested-for-seditious-words.html
20,Haishen is the second powerful typhoon to slam Japan in a week,Alerts for strong winds^ waves^ high tides^ rainfall and lightning were issued for Amami Oshima alongside evacuation orders,06 Sep 2020,https://www.indiatoday.in/world/asia/060920/haishen-is-the-second-powerful-typhoon-to-slam-japan-in-a-week.html
21,Search for ship survivors suspended as Typhoon Haishen nears Japan,The Japan coastguard found a second survivor after the Gulf Livestock 1 issued a distress call as Typhoon Maysak passed through the area,05 Sep 2020,https://www.indiatoday.in/world/asia/050920/search-for-ship-survivors-suspended-as-typhoon-haishen-nears-japan.html
22,North Korea to punish officials for typhoon casualties,Natural disasters tend to have a greater impact in North Korea due to its creaking infrastructure,05 Sep 2020,https://www.indiatoday.in/world/asia/050920/north-korea-to-punish-officials-for-typhoon-casualties.html
23,North Korea preparing for launch of submarine missile: US think tank,North Korea said last October it had successfully test-fired a Pukguksong-3^ a new submarine-launched ballistic missile (SLBM),05 Sep 2020,https://www.indiatoday.in/world/asia/050920/north-korea-preparing-launch-of-submarine-missile-us-think-tank.html
24,High school students turn agitators for educational reform in Thailand,The ministry has issued statement saying schools must respect freedom of speech^ allowing protests as long as they aren't disruptive,04 Sep 2020,https://www.indiatoday.in/world/asia/040920/high-school-students-turn-agitators-for-educational-reform-in-thailand.html
25,More than 40 crew missing after cattle ship capsizes in storm off Japan,A lone crew member from the Gulf Livestock 1 had been rescued so far,04 Sep 2020,https://www.indiatoday.in/world/asia/040920/more-than-40-crew-missing-after-cattle-ship-capsizes-in-storm-off-japa.html
26,Singapore detects new COVID-19 clusters at migrant worker dormitories,The vast majority of Singaporeâs nearly 57^000 cases are from cramped dormitories that house more than 300^000 South Asian workers,03 Sep 2020,https://www.indiatoday.in/world/asia/030920/singapore-detects-new-covid-19-clusters-at-migrant-worker-dormitories.html
27,Typhoon Maysak pummels South Korea^ ship missing in rough waters,North Koreaâs state TV showed widespread flooding in the eastern coastal cities^ but the country didnât immediately report any casualties,03 Sep 2020,https://www.indiatoday.in/world/asia/030920/typhoon-maysak-pummels-south-korea-ship-missing-in-rough-waters.html
28,Japan's Yoshihide Suga announces PM bid with strong party backing,A parliamentary vote will follow two days later^ with lawmakers expected to endorse the new LDP leader as prime minister,02 Sep 2020,https://www.indiatoday.in/world/asia/020920/japans-yoshihide-suga-announces-pm-bid-with-strong-party-backing.html
29,Japan's ruling party to hold leadership vote to find PM Abe's successor,Key LDP factions have already thrown their support behind Suga^ who is expected to formally announce his candidacy later today,02 Sep 2020,https://www.indiatoday.in/world/asia/020920/japans-ruling-party-to-hold-leadership-vote-to-find-pm-abes-successo.html
30,Czech delegation visits Taiwan despite China's protests,China last week denounced Vystrcil's visit as undermining the political foundation of China-Czech relations,30 Aug 2020,https://www.indiatoday.in/world/asia/300820/czech-delegation-visits-taiwan-despite-chinas-protests.html
31,Race kicks off to find a new PM for Japan after Abe resignation,Abeâs resignation marks the end of his tenure and the start of a several-week race to replace Japanâs longest-serving premier,29 Aug 2020,https://www.indiatoday.in/world/asia/290820/race-kicks-off-to-find-a-new-pm-for-japan-after-abe-resignation.html
32,Japan's Shinzo Abe announces he will resign over health problems,Speculation about the prime minister's health has been swirling for weeks but reached fever pitch in recent days,28 Aug 2020,https://www.indiatoday.in/world/asia/280820/japans-shinzo-abe-to-announce-resignation-over-health-issues.html
33,30 pc of children in the world missed learning after pandemic shut schools: UNICEF,The highest number of children affected by region were in South Asia^ at least 147 million^ according to the report,27 Aug 2020,https://www.indiatoday.in/world/asia/270820/30-pc-of-children-in-the-world-missed-learning-after-pandemic-shut-sch.html
